
Minimum time:  301	(0.109767 ms)

Test #		Time
816:		325	(0.118519 ms)
817:		324	(0.118154 ms)
818:		334	(0.121801 ms)
819:		316	(0.115237 ms)
820:		317	(0.115601 ms)
821:		322	(0.117425 ms)
822:		325	(0.118519 ms)
823:		331	(0.120707 ms)
824:		325	(0.118519 ms)
825:		310	(0.113049 ms)
826:		318	(0.115966 ms)
827:		326	(0.118883 ms)
828:		320	(0.116695 ms)
829:		307	(0.111955 ms)
830:		314	(0.114507 ms)
831:		314	(0.114507 ms)
832:		306	(0.11159 ms)
833:		308	(0.112319 ms)
834:		322	(0.117425 ms)
835:		316	(0.115237 ms)
836:		427	(0.155715 ms)
837:		319	(0.116331 ms)
838:		312	(0.113778 ms)
839:		305	(0.111225 ms)
840:		319	(0.116331 ms)
841:		307	(0.111955 ms)
842:		315	(0.114872 ms)
843:		321	(0.11706 ms)
844:		480	(0.175043 ms)
845:		344	(0.125447 ms)
846:		340	(0.123989 ms)
847:		359	(0.130918 ms)
848:		309	(0.112684 ms)
849:		305	(0.111225 ms)
850:		318	(0.115966 ms)
851:		306	(0.11159 ms)
852:		319	(0.116331 ms)
853:		319	(0.116331 ms)
854:		308	(0.112319 ms)
855:		306	(0.11159 ms)
856:		315	(0.114872 ms)
857:		306	(0.11159 ms)
858:		310	(0.113049 ms)
859:		307	(0.111955 ms)
860:		314	(0.114507 ms)
861:		318	(0.115966 ms)
862:		313	(0.114143 ms)
863:		317	(0.115601 ms)
864:		316	(0.115237 ms)
865:		307	(0.111955 ms)
866:		311	(0.113413 ms)
867:		317	(0.115601 ms)
868:		314	(0.114507 ms)
869:		303	(0.110496 ms)
870:		318	(0.115966 ms)
871:		317	(0.115601 ms)
872:		317	(0.115601 ms)
873:		305	(0.111225 ms)
874:		373	(0.136023 ms)
875:		409	(0.149151 ms)
876:		316	(0.115237 ms)
877:		317	(0.115601 ms)
878:		307	(0.111955 ms)
879:		319	(0.116331 ms)
880:		317	(0.115601 ms)
881:		316	(0.115237 ms)
882:		321	(0.11706 ms)
883:		318	(0.115966 ms)
884:		317	(0.115601 ms)
885:		314	(0.114507 ms)
886:		315	(0.114872 ms)
887:		317	(0.115601 ms)
888:		317	(0.115601 ms)
889:		315	(0.114872 ms)
890:		316	(0.115237 ms)
891:		319	(0.116331 ms)
892:		313	(0.114143 ms)
893:		317	(0.115601 ms)
894:		476	(0.173584 ms)
895:		484	(0.176502 ms)
896:		350	(0.127635 ms)
897:		348	(0.126906 ms)
898:		487	(0.177596 ms)
899:		332	(0.121071 ms)
900:		319	(0.116331 ms)
901:		319	(0.116331 ms)
902:		432	(0.157539 ms)
903:		327	(0.119248 ms)
904:		325	(0.118519 ms)
905:		323	(0.117789 ms)
906:		434	(0.158268 ms)
907:		368	(0.1342 ms)
908:		320	(0.116695 ms)
909:		318	(0.115966 ms)
910:		425	(0.154986 ms)
911:		313	(0.114143 ms)
912:		323	(0.117789 ms)
913:		307	(0.111955 ms)
914:		420	(0.153163 ms)
915:		305	(0.111225 ms)
916:		317	(0.115601 ms)
917:		319	(0.116331 ms)
918:		427	(0.155715 ms)
919:		366	(0.13347 ms)
920:		318	(0.115966 ms)
921:		318	(0.115966 ms)
922:		521	(0.189995 ms)
923:		306	(0.11159 ms)
924:		305	(0.111225 ms)
